Market Options 6 7 2020,,,,,,,
Symbol,Company Name,Last,Volume,Trades,Exercise Price,% Chg. (Close),+/- Chg. (Close)
CCLKG7,CC AMATIL  AUG-20C1,8.995,200,6,0.01,2.158,0.19
APT7G8,AFTERPAY   SEP-20C70,9.7,3,1,70,2.105,0.2
SYD5J7,SYDAIRPORT SEP-20C60,0.25,65,1,6,2.041,0.005
CLBO,CANDY CLUB OPT MAY23,0.064,260496,4,0.1,1.587,0.001
WESTR8,WESFARMER  AUG-20P45,1.32,60,2,45,1.538,0.02
FMGCR7,FORTESCUE  SEP-20P12,0.72,15,1,12.62,1.408,0.01
BHPDY8,BHP GROUP  SEP-20C36,1.55,10,1,36,1.307,0.02
BHPSE7,BHP GROUP  AUG-20P35,1.36,20,2,35.5,0.741,0.01
CSLFX8,CSL        DEC-20C16,136.8,10,1,160,0.367,0.5
JHXPR7,J HARDIE   OCT-20C26,3.01,25,1,26.5,0.333,0.01
JHXWQ9,J HARDIE   SEP-20C29,1.32,883,1,29.5,0,1.32
JHX2U9,J HARDIE   AUG-20C26,2.57,30,1,26,0,2.57
JHX2V9,J HARDIE   AUG-20P26,1.84,883,6,26,0,0
JHX5U9,J HARDIE   JUL-20P25,0.4,883,6,25,0,0
ILUFH7,ILUKA RES  DEC-20C90,1.29,22,1,9,0,0
IPLF68,INCITEC PV JUN-23P19,0.51,65,1,1.9,0,0.51
IPLMW7,INCITEC PV JUL-20C19,0.065,1000,2,1.95,0,0
IPLQA7,INCITEC PV AUG-20P18,0.095,1000,2,1.8,0,0
IPLQD7,INCITEC PV AUG-20C19,0.095,70,1,1.9,0,0.095
IVROA,INVESTIGAT OPT DEC20,0.004,1467778,8,0.035,0,0
LRSOC,LATRES     OPT DEC22,0.002,3127500,4,0.012,0,0
MQGFO7,MACQ GROUP JUL-20C13,0.75,100,1,134,0,0
LLCKM8,LEND LEASE JUL-20P12,0.35,1840,13,12,0,0
LLCL18,LEND LEASE AUG-20P12,0.695,1840,13,12.25,0,0
MCTO,METALICITY OPT MAY22,0.023,413375,5,0.004,0,0
MEBOB,MEDIBIOLTD OPT DEC21,0.002,10000000,5,0.03,0,0
MGRVF9,MIRVAC GRP AUG-20P23,0.145,10,1,2.3,0,0.145
MOHO,MOHO RES   OPT JUL23,0.025,700000,4,0.25,0,0
MPLTQ8,MEDIBANK   SEP-20C31,0.115,300,1,3.1,0,0.115
MQG0K7,MACQ GROUP AUG-20C72,50.5,10,1,72.01,0,50.5
MQG1V7,MACQ GROUP NOV-20P12,10.545,150,5,124.01,0,10.545
FMGI37,FORTESCUE  JUL-20P11,0.02,15,1,11.51,0,0
FMGJ29,FORTESCUE  OCT-20C12,1.77,40,1,12.26,0,0
FMGKV7,FORTESCUE  SEP-20C15,0.25,93,1,15.14,0,0.25
FMGL87,FORTESCUE  AUG-20C15,0.27,22,1,15.01,0,0.27
FMGM47,FORTESCUE  JUL-20P13,0.135,300,1,13,0,0.135
FMGMD7,FORTESCUE  JUL-20C14,0.31,14,1,14.25,0,0
FMGMF7,FORTESCUE  JUL-20C14,0.2,84,2,14.5,0,0.2
FMGUC9,FORTESCUE  OCT-20C11,2.315,38,1,11.26,0,0
FMGYD8,FORTESCUE  OCT-20C13,1.4,21,1,13,0,1.4
FMGZ58,FORTESCUE  JUL-20C12,1.665,40,1,12.51,0,0
HMXOD,HAMMER     OPT SEP20,0.011,340691,3,0.03,0,0
FMGZS8,FORTESCUE  JUL-20P13,0.16,100,1,13.5,0,0
GBZOB,GBMRESOURC OPTJUL23D,0.029,6385,1,0.11,0,0.029
GEVOA,GLOBENEVEN OPT MAY23,0.02,56146,1,0.12,0,0
GMGU17,GOOD GROUP OCT-20C16,0.62,72,1,16.5,0,0.62
NABKY8,NAT. BANK  AUG-20P18,0.81,1,1,18.5,0,0
NABJK8,NAT. BANK  JUL-20C20,0.06,126,6,20,0,0
NABIU8,NAT. BANK  SEP-20P20,2.11,10,1,20.5,0,0
NAB9H7,NAT. BANK  OCT-20C19,1.1,20,1,19,0,0
NABFS8,NAT. BANK  JUN-22P22,11,200,1,22,0,0
NABG47,NAT. BANK  DEC-20C24,0.12,200,1,24.51,0,0.12
MQGVG7,MACQ GROUP AUG-20P95,0.31,150,3,95,0,0.31
MQGRO7,MACQ GROUP AUG-20P11,3.45,104,4,116,0,0
MQGSW9,MACQ GROUP SEP-20P10,1.98,6,1,108,0,1.98
MQGSY9,MACQ GROUP MAR-21C13,8.8,10,1,130,0,8.8
MQGT59,MACQ GROUP JUL-20C12,2.27,30,1,122.01,0,0
MQGT67,MACQ GROUP JUL-20P10,0.17,400,3,100,0,0
MTS3Q9,METCASHLTD JUL-20C24,0.35,3000,2,2.4,0,0
MTS3Z9,METCASHLTD JUL-20C26,0.08,80,1,2.6,0,0
MQGVN8,MACQ GROUP SEP-20C12,7,3,1,124.01,0,7
NAB7V7,NAT. BANK  OCT-20P15,0.24,50,1,15,0,0.24
MQGN49,MACQ GROUP OCT-20P11,3.5,10,1,112.01,0,3.5
